"Cluster","RA","DEC","GLON","GLAT","r50","agenn","dmnn","distpc","pmRA*","e_pmRA*","pmDE","e_pmDE","plx","e_plx","nb","nbB0","nbB2","nbB4","SimbadName","_RA_icrs","_DE_icrs"
"UBC_137",301.131,35.237,72.026,2.017,0.024,8.46,11.94,2438,-2.432,0.047,-3.998,0.028,0.384,0.015,38,1,13,36," ",301.131,35.237
"Teutsch_8",300.598,35.31,71.86,2.424,0.006,6.6,11.49,1982,-3.348,0.089,-6.763,0.132,0.498,0.029,28,4,12,18,"Teutsch 8",300.598,35.31
"Berkeley_50",302.505,34.967,72.408,0.926,0.021,7.88,12.64,3380,-3.384,0.068,-5.11,0.077,0.233,0.027,82,10,55,81,"Cl Berkeley 50",302.505,34.967
"Biurakan_2",302.283,35.488,72.747,1.359,0.139,6.97,11.18,1723,-3.138,0.072,-6.864,0.106,0.548,0.017,44,6,19,37,"Cl Biurakan 2",302.283,35.488
"Ruprecht_172",302.888,35.603,73.112,1.01,0.041,9.02,12.76,3562,-2.035,0.028,-3.709,0.042,0.259,0.023,81,1,40,79,"Cl Ruprecht 172",302.888,35.603
"UBC_139",302.728,35.764,73.167,1.197,0.103,8.36,11.61,2095,-2.072,0.054,-4.92,0.08,0.455,0.02,63,2,11,52," ",302.728,35.764
"Gulliver_17",302.654,35.871,73.233,1.315,0.063,7.84,11.06,1631,-1.104,0.1,-3.12,0.076,0.558,0.028,98,2,12,46,"Cl Gulliver 17",302.654,35.871
"UBC_580",303.206,35.92,73.524,0.974,0.1,,,,-2.416,0.097,-4.521,0.1,0.247,0.026,46,5,25,46," ",303.206,35.92
"NGC_6871",301.548,35.765,72.658,2.012,0.371,6.74,11.18,1720,-3.11,0.096,-6.471,0.211,0.515,0.03,422,57,189,354,"NGC 6871",301.548,35.765
"UBC_368",302.847,36.512,73.84,1.529,0.11,7.35,11.58,2074,-2.577,0.048,-5.783,0.05,0.448,0.027,37,4,20,30," ",302.847,36.512
"UBC_367",302.357,36.47,73.616,1.849,0.053,7.34,12.36,2962,-2.574,0.063,-5.099,0.035,0.339,0.021,24,5,17,25," ",302.357,36.47
"Berkeley_49",299.872,34.643,70.979,2.578,0.019,8.41,12.41,3030,-3.021,0.069,-6.063,0.08,0.3,0.055,75,8,42,77,"Cl Berkeley 49",299.872,34.643
"FSR_0198",300.614,35.681,72.182,2.609,0.127,6.67,11.69,2181,-3.52,0.174,-6.577,0.153,0.494,0.043,81,10,29,63,"[FSR2007] 0198",300.614,35.681
"UBC_366",299.841,37.204,73.145,3.924,0.078,8.58,11.27,1797,-1.198,0.055,-2.239,0.021,0.543,0.024,22,0,8,18," ",299.841,37.204
"UBC_583",303.735,36.659,74.36,1.029,0.122,7.94,12.34,2943,-3.338,0.073,-5.167,0.089,0.275,0.028,54,2,20,54," ",303.735,36.659
"Dolidze_3",303.803,36.832,74.545,1.072,0.094,6.95,11.6,2086,-2.882,0.065,-5.631,0.015,0.501,0.021,16,2,9,15,"Cl Dolidze 3",303.803,36.832
"UBC_370",303.863,36.891,74.617,1.06,0.042,7.52,12.46,3099,-3.339,0.075,-5.09,0.045,0.289,0.01,20,1,9,20," ",303.863,36.891
"ASCC_111",302.891,37.515,74.714,2.056,0.537,8.44,9.65,851,-1.162,0.09,-1.586,0.12,1.169,0.049,134,3,11,48,"[KPR2005] 111",302.891,37.515
"IC_4996",304.135,37.649,75.37,1.308,0.028,7.05,11.55,2043,-2.65,0.099,-5.347,0.094,0.484,0.02,69,10,32,58,"IC 4996",304.135,37.649
"Gulliver_23",304.255,38.055,75.761,1.456,0.046,8.72,12.67,3424,-2.453,0.053,-4.496,0.05,0.243,0.018,112,7,71,112,"Cl Gulliver 23",304.255,38.055
"Berkeley_87",305.396,37.433,75.756,0.361,0.093,6.92,11.08,1644,-3.63,0.067,-6.321,0.118,0.565,0.033,110,26,72,110,"Cl Berkeley 87",305.396,37.433
"Berkeley_85",304.692,37.744,75.697,0.997,0.057,8.62,12.74,3526,-2.936,0.068,-4.686,0.064,0.239,0.029,308,39,212,308,"Cl Berkeley 85",304.692,37.744
"NGC_6913",305.943,38.487,76.868,0.61,0.106,7.34,11.03,1608,-3.421,0.072,-5.82,0.106,0.559,0.023,71,5,36,68,"NGC 6913",305.943,38.487
